song_name,artist,album,rating,year,language_or_genre,spotify_url,image_url,metadata
a flying jatt,tanishkaa,a flying jatt (original motion picture soundtrack),5.0,2016,hindi,https://open.spotify.com/track/4LcpHXVFU5IfXB4AZHHoVx,https://i.scdn.co/image/ab67616d0000b2738808ea1ba2cfba519e797a14,tanishkaa a flying jatt (original motion picture soundtrack) hindi
a life full of love theme,anirudh ravichander,3 (original motion picture soundtrack),4.7,2011,hindi,https://open.spotify.com/track/5o0cR4FzBPvSE7831sBNvq,https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18,anirudh ravichander 3 (original motion picture soundtrack) hindi
a moonlight path,martin czerny,piano + rain,3.0,2020,rain,https://open.spotify.com/track/47Sx95pXWW6iEukU74otw9,https://i.scdn.co/image/ab67616d0000b273d1490917307a023073e105e1,martin czerny piano + rain rain
a voice in my head and rainy,martin czerny,sad piano & cello rainy mood viii,3.9,2021,rain,https://open.spotify.com/track/4odjnu3I8aQyYmw5dTpEw4,https://i.scdn.co/image/ab67616d0000b27373536e83d7022254868405e0,martin czerny sad piano & cello rainy mood viii rain
aa bhi ja mere mehermaan,atif aslam,jayantabhai ki luv story (original motion picture soundtrack),3.6,2012,hindi,https://open.spotify.com/track/4wtqAewbRjuO3UtKH72RgY,https://i.scdn.co/image/ab67616d0000b27361b4be5645116046eb5b95d1,atif aslam jayantabhai ki luv story (original motion picture soundtrack) hindi
aa bhi jaa sanam,atif aslam,prince (original motion picture soundtrack),5.5,2010,hindi,https://open.spotify.com/track/2XuP5uP8xloYNXtKY0uQEx,https://i.scdn.co/image/ab67616d0000b27378109adafee981634990753a,atif aslam prince (original motion picture soundtrack) hindi
aa hi jaiye,anuradha sriram,lajja (original motion picture soundtrack),3.9,2021,hindi,https://open.spotify.com/track/4VciVafjuHsgwCmRh8jlnd,https://i.scdn.co/image/ab67616d0000b273f7ef0dd80ad1de8fc1727bd7,anuradha sriram lajja (original motion picture soundtrack) hindi
aa jaana,darshan raval,aa jaana,3.8,2019,hindi,https://open.spotify.com/track/5uEUquIoH9DKG68fO6OZl8,https://i.scdn.co/image/ab67616d0000b2738affee6851c1793ca137d227,darshan raval aa jaana hindi
aa kahin dur chale,udit narayan,my best collection - udit narayan,4.2,2016,hindi,https://open.spotify.com/track/0edp4WmtdLi3KFw7S4pnqx,https://i.scdn.co/image/ab67616d0000b273c1524360a5861632659fb932,udit narayan my best collection - udit narayan hindi
aa maa aa tujhe dil ne pukara,babla mehta,top navratri bhajans vol-2,3.2,2018,religious/bhakti,https://open.spotify.com/track/5wFGMj3xCrhkaVeWMSI4XL,https://i.scdn.co/image/ab67616d0000b273d64b2ed05a33c43a5def2143,babla mehta top navratri bhajans vol-2 religious/bhakti
